population;indiID;totflowers;INTcor;Ieffic;Iattrac;IattracCorr;Iacces;IaccesCorr;longcor;longpet;anchopet;stylelength;antherslength;tubewidth;Nflores;Nfrutosiniciados;Nfrutosfinales;semillasporfruto;semillasporfrutoR;fruitset;seedsflo;styleexertion;herkoRela
B;B1;9;0.0068021;0.470701718;3.011481876;-3.011481876;1.279924808;-1.279924808;17.59;5.224705882;4.211176471;18.02882353;15.55529412;1.485;141;69;1;1;1;0.007092199;0.007092199;0.438823529;-2.473529412
B;B10;6.666666667;1.570569543;-0.307613709;-0.689412336;0.689412336;-0.002103048;0.002103048;27.07125;9.69;8.63375;28.60375;23.63875;1.95625;16;15;0;NA;NA;0;0;1.5325;-4.965
B;B12;36.85714286;2.020606802;-0.296652183;-0.886276207;0.886276207;-0.016355821;0.016355821;29.48;10.2565;8.392;29.257;22.676;1.983;82;46;2;0.25;0;0.024390244;0.006097561;-0.223;-6.581
B;B16;1022.666667;0.812864089;-0.251731864;-2.532677322;2.532677322;-0.456594521;0.456594521;30.467;13.0495;9.3485;34.145;31.1685;2.193;48;47;0;NA;NA;0;0;3.678;-2.9765
B;B2;9;2.374958406;0.246387523;0.949840976;-0.949840976;0.639014735;-0.639014735;19.97235294;7.235294118;6.818823529;23.79411765;24.93911765;1.700588235;110;98;3;0;0;0.027272727;0;3.821764706;1.145
B;B29;;NA;-0.369801137;0.792355544;-0.792355544;0.524620881;-0.524620881;17.99;9.22;6.93;22.3825;25.3975;1.4975;5;5;1;NA;NA;0.2;0;4.3925;3.015
B;B32;4;0.547793484;0.354261352;0.905522182;-0.905522182;0.084443347;-0.084443347;23.528125;7.835;6.52125;24.720625;21.23875;2.484375;42;39;7;0;0;0.166666667;0;1.1925;-3.481875
B;B35;64;0.7040985;-2.417153831;4.991668288;-4.991668288;0.039388119;-0.039388119;6.57;6.607;6.401;5.524285714;1.205714285;1.8685;81;0;1;0.5;1;0.012345679;0.00617284;-1.045714286;-4.318571429
B;B36;20;2.055424632;1.620978566;3.923973285;-3.923973285;-4.186057964;4.186057964;13.36111111;5.927222222;5.525555556;15.91666667;14.93388889;8.767222222;60;13;3;0.5;1;0.05;0.025;2.555555556;-0.982777778
B;B43;45.42857143;1.164955004;-0.118164293;-1.575412631;1.575412631;-0.478482252;0.478482252;28.039;10.0465;9.8575;31.522;28.132;2.4195;150;128;5;0;0;0.033333333;0;3.483;-3.39
B;B44;;NA;-0.152003774;-0.910215913;0.910215913;0.089378801;-0.089378801;26.005;10.29;8.3625;28.85;27.5025;1.86;6;6;0;NA;NA;0;0;2.845;-1.3475
B;B45;72.125;1.261764494;-0.13160909;-0.452900405;0.452900405;0.350514113;-0.350514113;31.4275;9.7045;7.3895;28.0975;19.9385;1.7565;55;51;9;0;0;0.163636364;0;-3.33;-8.159
B;B46;6;1.098455605;2.235109455;-2.253800811;2.253800811;0.492035274;-0.492035274;38.32888889;7.485555556;7.485555556;38.92444445;34.455;2.382222222;45;11;0;NA;NA;0;0;0.595555556;-4.469444444
B;B5;8;0.593424636;-0.684552545;1.956895084;-1.956895084;0.563554414;-0.563554414;22.49;8.087333333;5.961428571;19.17733333;12.3337619;1.646;40;28;1;2;2;0.025;0.05;-3.312666667;-6.843571429
B;B50;4;2.329582091;0.847552955;0.319436324;-0.319436324;0.406327639;-0.406327639;21.894375;7.546875;6.72375;27.33570833;28.91104167;2.16125;40;29;3;0;0;0.075;0;5.441333333;1.575333333
B;B52;6;1.666955376;0.274919538;0.216105778;-0.216105778;0.294118997;-0.294118997;21.88933333;8.536428571;7.185;26.71;26.53642857;2.006666667;49;33;6;0;0;0.12244898;0;4.820666667;-0.173571429
B;B53;33.5;1.545714735;-1.270179912;-1.137267268;1.137267268;-0.524536801;0.524536801;23.5655;11.061;10.602;27.6805;24.4425;1.956;54;44;9;0.5;1;0.166666667;0.083333333;4.115;-3.238
B;B55;;NA;0.008829571;-2.115132988;2.115132988;-0.549503446;0.549503446;30.16333333;10.81;9.96;32.56666666;30.69666666;2.48;9;7;5;NA;NA;0.555555556;0.283333333;2.403333333;-1.87
B;B6;11.75;2.280742738;0.921840925;-1.086065728;1.086065728;0.558567934;-0.558567934;28.72;8.814545455;7.378181818;31.98090909;31.24272727;1.805454545;54;32;4;0;0;0.074074074;0;3.260909091;-0.738181818
B;B64;16.33333333;1.467887752;0.245857635;0.676448356;-0.676448356;0.63124777;-0.63124777;23.76125;7.720625;6.641875;25.285625;22.508125;1.719375;43;17;1;0;0;0.023255814;0;1.524375;-2.7775
B;B65;13.33333333;0.989003449;0.00462924;-0.80647009;0.80647009;0.156044315;-0.156044315;26.17421053;9.877368421;8.141052632;29.36789474;27.0531579;1.881052632;77;54;0;NA;NA;0;0;3.193684211;-2.314736842
B;B66;;NA;0.220413004;1.758090394;-1.758090394;0.903321324;-0.903321324;18.122;6.67;5.82;21.984;21.572;1.536;42;9;0;NA;NA;0;0;3.862;-0.412
B;B7;88.8;1.680729265;-0.951804927;-1.604644867;1.604644867;-0.577169856;0.577169856;27.6735;13.058;9.305;28.7695;26.0675;2.17;62;61;0;1.5;2;0;0;1.096;-2.702
B;B76;6;0.5356043;-1.023173225;-3.769721784;3.769721784;-1.031142506;1.031142506;30.945;16.50333333;10.615;36.22333333;33.75833333;2.266666667;18;18;0;NA;NA;0;0;5.278333333;-2.465
B;B77;19.57142857;0.785665803;-1.198426447;-0.491551933;0.491551933;-0.358200712;0.358200712;26.0965;10.6095;9.499;25.1755;19.7685;1.9865;48;45;1;NA;NA;0.020833333;0.010625;-0.921;-5.407
B;B8;7.285714286;0.671962338;0.373535975;-0.550415721;0.550415721;0.113299906;-0.113299906;26.12090909;8.364545455;8.265454545;28.82363636;27.63909091;2.143636364;34;27;3;NA;NA;0.088235294;0.045;2.702727273;-1.184545455
B;B9;;NA;1.34784948;1.360147917;-1.360147917;1.054344553;-1.054344553;19.84;5.5675;5.23;25.135;28.02;1.82;10;10;3;NA;NA;0.3;0.153;5.295;2.885
E;E1;74;0.34111007;-2.26980725;0.573882365;-0.573882365;-0.65873299;0.65873299;29.3105;12.998;10.455;35.607;34.516;2.5765;64;49;17;0.6;1;0.265625;0.159375;6.2965;-1.091
E;E13;64;1.182226571;-0.733103745;-0.820377188;0.820377188;-1.005874189;1.005874189;24.965;12.8935;9.1345;34.749;37.693;2.1065;52;24;2;1;1;0.038461538;0.038461538;9.784;2.944
E;E14;12;0.679824667;0.435729478;1.111480288;-1.111480288;0.248307352;-0.248307352;27.45583333;11.73916667;9.214166667;31.19666666;27.495;2.189166667;30;11;13;1.6;2;0.433333333;0.693333333;3.740833333;-3.701666667
E;E15;24;1.176490396;0.22276341;0.39287531;-0.39287531;0.569042364;-0.569042364;29.8975;10.975;8.578;32.1285;29.331;2.3125;48;33;5;2.25;2;0.104166667;0.234375;2.231;-2.7975
E;E2;66;2.43761716;-0.909846882;-0.41637308;0.41637308;-1.168208392;1.168208392;26.244;11.025;9.489;33.967;36.7935;2.455;73;41;6;3;3;0.082191781;0.246575342;7.723;2.8265
E;E20;185.3333333;1.723224923;4.570495384;-0.35336104;0.35336104;-0.299902217;0.299902217;19.0705;8.5075;6.74;25.638;27.792;1.5895;65;39;12;1.571428571;2;0.184615385;0.29010989;6.5675;2.154
E;E21;79.5;1.717744608;-0.921020973;-1.955942443;1.955942443;-0.393070446;0.393070446;29.964;10.338;8.5545;36.7715;39.677;2.2865;63;27;9;1.333333333;1;0.142857143;0.19047619;6.8075;2.9055
E;E22;30.25;0.67879208;-1.893034451;-0.313929627;0.313929627;1.045722872;-1.045722872;35.009;12.721;9.0785;37.326;33.12;2.397;69;17;13;1.75;2;0.188405797;0.329710145;2.317;-4.206
E;E23;60;1.0311762;0.727305827;0.206805379;-0.206805379;-0.098011023;0.098011023;26.2515;10.9185;8.82;31.8195;30.418;2.1115;46;37;4;1;1;0.086956522;0.086956522;5.568;-1.4015
E;E24;51.75;0.569873164;-1.05282229;0.692052456;-0.692052456;0.596793028;-0.596793028;32.31;11.714;8.9775;33.184;30.248;2.623;66;44;7;0.75;1;0.106060606;0.079545455;0.874;-2.936
E;E25;72.75;2.552646713;-0.406413628;0.459230143;-0.459230143;1.169679259;-1.169679259;32.711;12.1015;8.424;33.098;28.9825;2.36;53;22;0;NA;NA;0;0;0.387;-4.1155
E;E29;109.75;1.737551215;-0.264133499;1.310202094;-1.310202094;1.415461524;-1.415461524;32.7575;13.1595;8.709;31.6065;26.122;2.2885;82;15;0;NA;NA;0;0;-1.151;-5.4845
E;E30;57.33333333;1.744845062;-1.996202453;0.677962141;-0.677962141;-2.132433249;2.132433249;24.1935;12.8355;11.0155;33.2625;37.4125;2.586;77;63;29;1.4;1;0.376623377;0.527272727;9.069;4.55
E;E31;13.33333333;1.724648703;2.349591179;0.428281564;-0.428281564;0.129513939;-0.129513939;24.96736842;9.502631579;7.795263158;27.88736842;27.58157895;2.078421053;63;58;6;0.333333333;0;0.095238095;0.031746032;2.92;-0.305789474
E;E32;429.8;2.54511702;0.087096903;0.128192712;-0.128192712;-1.51714873;1.51714873;23.4935;10.8535;9.9845;31.5945;34.7645;2.1875;60;32;3;1.666666667;2;0.05;0.083333333;8.101;3.17
E;E37;14.5;2.648768207;0.683717906;-0.486171364;0.486171364;1.256357712;-1.256357712;32.3025;10.456;7.835;32.986;30.021;2.0995;81;61;10;1;1;0.12345679;0.12345679;0.6835;-2.965
E;E38;81.75;2.007212898;-6.945785385;0.34739465;-0.34739465;0.274536619;-0.274536619;40.732;16.73;12.3905;44.59729412;39.42729412;2.9315;95;51;6;2;2;0.063157895;0.126315789;3.865294118;-5.17
E;E39;95;0.928984416;2.241138698;-0.305334479;0.305334479;-0.150687494;0.150687494;24.143;10.313;8.065;29.4005;30.6315;1.761;68;51;10;0.692307692;1;0.147058824;0.101809955;5.2575;1.231
E;E4;1168;1.137186248;-0.267251876;-0.048473105;0.048473105;0.008162452;-0.008162452;29.8555;10.496;9.44;33.715;32.25131579;2.249;89;0;0;NA;NA;0;0;3.8595;-1.3905
E;E40;13.33333333;3.319018382;1.09157613;-0.665559221;0.665559221;-0.658322363;0.658322363;25.972;8.912;9.027;31.922;33.674;2.036;29;20;5;2.2;2;0.172413793;0.379310345;5.95;1.752
E;E42;16;3.13618311;-0.848131783;2.073743187;-2.073743187;-1.123938357;1.123938357;25.33090909;13.21272727;11.36181818;30.71909091;29.70909091;2.275454545;48;46;10;0;0;0.208333333;0;5.388181818;-1.01
E;E44;46;0.766772118;1.340308239;-0.2823822;0.2823822;-0.274879909;0.274879909;25.7205;9.6155;8.567;31.177;31.4585;2.0405;36;10;0;NA;NA;0;0;5.4565;0.2815
E;E45;86;1.07773275;-0.801806094;-0.965910607;0.965910607;-0.355488538;0.355488538;27.527;12.1815;8.324;35.0535;36.718;2.333;88;55;2;1.75;2;0.022727273;0.039772727;7.5265;1.6645
E;E46;85.75;0.502048324;0.590697854;-0.263892727;0.263892727;1.358272108;-1.358272108;32.327;10.9445;8.1075;33.395;29.1325;2.029;72;52;0;1;1;0;0;1.068;-4.2625
E;E47;23.5;1.494680496;0.563192598;0.179096778;-0.179096778;-0.516305104;0.516305104;25.47875;11.198125;9.076875;31.30125;31.971875;2.113125;54;41;20;1;1;0.37037037;0.37037037;5.8225;0.670625
E;E47bis;126;0.855339425;-0.13080335;0.350872015;-0.350872015;0.148344305;-0.148344305;29.2535;11.7755;9.1745;32.3535;31.1455;2.2035;66;30;11;1.333333333;1;0.166666667;0.222222222;3.1;-1.208
E;E48;113.3333333;2.263544034;3.243293316;0.700434054;-0.700434054;-0.555437851;0.555437851;20.5205;9.2785;7.933;25.905;26.9815;1.9285;46;41;6;1.428571429;1;0.130434783;0.186335404;5.3845;1.0765
E;E49;74.25;3.49578062;0.519598846;-0.840012162;0.840012162;-1.388070229;1.388070229;24.1125;8.793;9.0845;32.41828947;36.30828947;2.2895;56;54;1;1.538461538;2;0.017857143;0.027472527;8.305789474;5.21
E;E51;82.66666667;1.679387728;4.015816436;0.506680161;-0.506680161;0.064401213;-0.064401213;21.9325;8.0005;7.3735;25.5995;24.964;1.852;48;21;14;1.590909091;2;0.291666667;0.464015152;3.667;-0.6355
E;E52;239.75;2.247006851;-1.050481777;0.469286429;-0.469286429;-2.038530765;2.038530765;21.1095;13.227;9.507;31.5945;36.733;2.5765;103;47;11;2;2;0.106796117;0.213592233;10.485;5.1385
E;E53;76.33333333;0.931998457;-0.011739498;-0.214860702;0.214860702;0.70485213;-0.70485213;31.2005;11.1965;8.543;33.51;31.274;2.1865;83;39;8;1.5;2;0.096385542;0.144578313;2.3095;-2.236
E;E54;60;0.520771934;-0.292738324;1.113997715;-1.113997715;1.863751402;-1.863751402;33.1625;11.2625;9.0895;35.984;23.414;2.2885;66;44;0;NA;NA;0;0;2.8215;-1.9275
E;E55;128;2.836137502;-1.300093148;-1.861440762;1.861440762;-0.530497655;0.530497655;28.8455;12.1055;8.4845;36.8725;40.5715;2.248;73;43;16;2.071428571;2;0.219178082;0.454011742;8.027;3.699
E;E56;52;1.980781363;0.831937404;-0.538185111;0.538185111;0.105104202;-0.105104202;28.4855;10.16;8.74;32.446;32.352;1.9705;73;18;0;NA;NA;0;0;3.9605;-0.094
E;E6;16;1.09046448;-0.702969301;0.172955189;-0.172955189;1.474618654;-1.474618654;33.766;13.3335;8.202;34.0165;29.91316667;2.2405;49;31;6;0.25;0;0.12244898;0.030612245;0.2505;-4.103333333
E;E7;44;1.089074085;-0.716073901;-1.563218811;1.563218811;2.432618364;-2.432618364;38.172;11.925;7.568;38.5575;32.252;1.9895;42;33;3;NA;NA;0.071428571;0.097857143;0.3855;-6.3055
ST;ST1;75.66666667;0.846905511;-2.373526458;-4.652849419;4.652849419;0.83119267;-0.83119267;30.4765;12.783;11.1115;31.575;25.7755;3.964;54;40;0;NA;NA;0;0;1.0985;-5.7995
ST;ST10;220;1.008440901;0.706314421;-1.1162836;1.1162836;-0.518893266;0.518893266;24.073;9.505;9.303;30.2165;30.7405;2.3235;47;1;0;NA;NA;0;0;6.1435;0.524
ST;ST12;12.5;3.256036416;-2.793994214;-0.750068151;0.750068151;-0.918722325;0.918722325;30.247;12.6755;11.256;35.739;37.0135;2.4265;117;13;0;1;1;0;0;5.492;1.2745
ST;ST13;30.33333333;2.966234415;3.894787973;-2.580952896;2.580952896;-1.593344199;1.593344199;12.7145;9.184;9.3235;21.2535;25.16;2.0465;55;16;0;NA;NA;0;0;8.539;3.9065
ST;ST15;335;1.300512502;-1.288143955;0.871498416;-0.871498416;-0.344433891;0.344433891;27.977;13.0945;8.7255;34.7775;36.217;1.851;35;0;0;NA;NA;0;0;6.8005;1.4395
ST;ST17;70.66666667;1.73945226;-2.122059739;0.833894006;-0.833894006;-0.581980081;0.581980081;29.9765;12.544;9.0655;36.5525;38.9445;2.1575;46;6;1;1.333333333;1;0.02173913;0.028985507;6.576;2.392
ST;ST18;147;0.712533198;-2.947287211;0.144083668;-0.144083668;-0.242342142;0.242342142;31.6605;14.2685;10.2815;36.4485;36.6145;2.108;73;45;8;0.875;1;0.109589041;0.095890411;4.788;0.166
ST;ST18bis;27.5;1.746258267;1.915056917;1.001160861;-1.001160861;-0.469500379;0.469500379;23.2035;8.2745;6.7255;30.5605;34.19;1.9045;75;1;0;NA;NA;0;0;7.357;3.6295
ST;ST19;152;1.324990359;2.531080188;-0.838396041;0.838396041;0.231266521;-0.231266521;22.4725;9.469;8.187;25.966;25.993;1.8;78;77;5;1;1;0.064102564;0.064102564;3.4935;0.027
ST;ST21;21.33333333;1.355213933;-2.084168216;0.558351933;-0.558351933;-0.525092445;0.525092445;29.361;12.5095;8.944;36.7415;38.3055;2.3195;58;20;0;NA;NA;0;0;7.3805;1.564
ST;ST22;232.6666667;0.69554049;-0.250673547;0.076596287;-0.076596287;2.375533819;-2.375533819;31.4295;11.1855;7.9695;36.47;24.3265;1.948;83;59;9;0.583333333;1;0.108433735;0.063253012;5.0405;2.1125
ST;ST23;144;1.107564989;-0.830298658;0.237123231;-0.237123231;-0.979318977;0.979318977;26.714;10.276;9.0295;34.599;37.487;2.31;52;44;6;NA;NA;0.115384615;0.135;7.885;2.888
ST;ST24;16;1.861920793;-2.900439961;-0.181926001;0.181926001;-0.064838299;0.064838299;32.64083333;12.56666667;9.59;37.2675;37.28;2.675833333;29;17;5;1;1;0.172413793;0.172413793;4.626666667;0.0125
ST;ST25;192.6666667;0.999297622;-1.625245546;1.836340351;-1.836340351;0.118131843;-0.118131843;31.7995;11.1895;7.9705;38.1385;38.4105;1.9315;42;36;3;1.666666667;2;0.071428571;0.119047619;6.339;0.272
ST;ST26;121.3333333;2.40593393;-0.172814846;-0.112667406;0.112667406;-0.179498822;0.179498822;27.2675;9.9735;8.3085;33.05916667;34.03638889;2.4125;53;51;12;0.058823529;0;0.226415094;0.013318535;5.791666667;0.977222222
ST;ST27;11.33333333;1.979187559;1.770196072;0.917138048;-0.917138048;-0.476795845;0.476795845;22.04277778;10.09722222;6.927222222;29.85777778;33.22;1.713333333;135;101;7;0.666666667;1;0.051851852;0.034567901;7.815;3.362222222
ST;ST3;12;1.346947154;-1.923345502;0.826305323;-0.826305323;0.217388804;-0.217388804;31.2745;12.476;8.4495;36.825;36.4645;2.1985;54;45;4;0;0;0.074074074;0;5.5505;-0.3605
ST;ST30;4;1.476189286;0.746608037;0.854251143;-0.854251143;0.194674235;-0.194674235;26.9785;9.8335;7.3935;32.0385;33.043;1.8855;54;22;5;1;1;0.092592593;0.092592593;5.06;1.0045
ST;ST31;19.5;2.045442807;-0.065031102;0.023290853;-0.023290853;0.401753591;-0.401753591;26.406;13.1845;8.0865;31.1615;30.724;1.9195;84;29;7;NA;NA;0.083333333;0.0975;4.7555;-0.4375
ST;ST32;9.25;1.007987003;-2.084234498;-0.93489103;0.93489103;0.665380101;-0.665380101;31.405;13.61;10.178;34.51;30.5228;2.295;61;16;2;1;1;0.032786885;0.032786885;3.105;-3.9872
ST;ST35;143.2;1.751081359;0.799339645;0.335946045;-0.335946045;0.30446818;-0.30446818;27.15619048;9.978571429;8.134761905;30.97919048;31.00519048;1.817142857;92;56;2;1.6;2;0.02173913;0.034782609;3.823;0.026
ST;ST36;206.5;1.315721789;-0.362868101;0.072832976;-0.072832976;0.556263206;-0.556263206;29.274;11.06421053;8.169;33.0735;31.9685;2.2025;129;76;4;1.714285714;2;0.031007752;0.053156146;3.7995;-1.105
ST;ST37;6.666666667;1.641418652;0.057192416;0.218392648;-0.218392648;-0.187497978;0.187497978;26.32307692;11.00076923;8.576153846;32.28034965;32.97307692;1.946923077;34;18;4;1.333333333;1;0.117647059;0.156862745;5.957272727;0.692727273
ST;ST38;40;2.359708997;1.388003548;0.849097873;-0.849097873;0.896229176;-0.896229176;26.937;10.1855;7.1095;30.846;29.2225;1.6045;64;40;0;NA;NA;0;0;3.909;-1.6235
ST;ST4;206.5;2.883276421;-0.540950775;0.107502496;-0.107502496;-0.664975908;0.664975908;27.388;10.2685;9.201;33.327;35.609;2.1555;84;67;4;0;0;0.047619048;0;5.939;2.282
ST;ST40;11;0.685219567;-1.91040227;-0.235938486;0.235938486;-0.066400792;0.066400792;30.7065;11.97;10.1285;35.599;34.215;2.2085;60;22;4;2.818181818;3;0.066666667;0.187878788;4.8925;-1.384
ST;ST40bis;4.666666667;2.501912607;1.845713311;-0.293626371;0.293626371;0.019708322;-0.019708322;24.16642857;8.602857143;8.183571429;28.99571428;29.19285714;1.924285714;50;23;0;NA;NA;0;0;4.829285714;0.197142857
ST;ST41;151;0.909703334;1.903772395;-0.758711696;0.758711696;-0.157745621;0.157745621;22.9795;8.808;8.294;28.238;28.8635;2.094;74;51;20;1.407407407;1;0.27027027;0.38038038;5.2585;0.6255
ST;ST42;90.66666667;1.341358568;1.233615243;1.153591817;-1.153591817;-0.811001414;0.811001414;23.129;9.8615;7.723;31.1595;34.984;1.5865;103;72;59;2.363636364;2;0.572815534;1.353927626;8.0305;3.8245
ST;ST44;15.33333333;0.848245805;0.597647931;1.29199189;-1.29199189;-0.231818092;0.231818092;26.5355;9.68;7.586;32.9355;35.0595;1.739;44;23;9;2.857142857;3;0.204545455;0.584415584;6.4;2.124
ST;ST47;9.333333333;1.902556079;2.571169391;-0.463132567;0.463132567;-0.307490103;0.307490103;21.19842105;7.913684211;6.962631579;27.86578947;30.25263158;2.311578947;49;9;1;NA;NA;0.020408163;0.023877551;6.667368421;2.386842105
ST;ST50;117.4;2.337824852;2.37710116;0.458209758;-0.458209758;1.498911586;-1.498911586;27.8235;8.445;6.7395;28.693;26.078;1.674;64;51;0;1.636363636;2;0;0;0.8695;-2.615
ST;ST53;9;2.210179163;1.937885952;0.251844045;-0.251844045;1.010788523;-1.010788523;25.89611111;9.556111111;6.532222222;29.22277778;28.05333333;1.958888889;59;10;0;NA;NA;0;0;3.326666667;-1.169444444
